SEQN,RIDAGEYR,FIAINTRP,RIDAGEMN,WTMEC2YR,SIAINTRP,DMDHHSIZ,AIALANG,RIDAGEEX,DMDCITZN,DMDHRGND,DMDHRMAR,INDHHINC,RIDEXPRG,DMDEDUC2,DMDHREDU,FIALANG,RIDEXMON,DMQMILIT,DMDMARTL,SDDSRVYR,SDMVSTRA,MIALANG,SDMVPSU,INDFMPIR,SIALANG,MIAINTRP,WTINT2YR,DMDEDUC3,DMDBORN,RIAGENDR,DMDHRBRN,INDFMINC,DMDHRAGE,DMDSCHOL,RIDRETH1,DMDHSEDU,FIAPROXY,MIAPROXY,DMDYRSUS,RIDSTATR,SIAPROXY,SourceYear
21043.0,31.0,2.0,381.0,28436.653837,2.0,4.0,1.0,381.0,1.0,2.0,1.0,2.0,,3.0,2.0,1.0,2.0,2.0,1.0,3.0,33.0,1.0,2.0,0.37,1.0,2.0,27002.702715,,1.0,1.0,1.0,2.0,37.0,,4.0,3.0,2.0,2.0,,2.0,2.0,2003
21044.0,19.0,2.0,236.0,3239.845953,2.0,3.0,,238.0,1.0,1.0,,2.0,2.0,,2.0,1.0,1.0,2.0,6.0,3.0,43.0,,2.0,0.74,1.0,,3170.345492,11.0,1.0,2.0,1.0,2.0,20.0,3.0,1.0,,2.0,,,2.0,2.0,2003
21045.0,9.0,2.0,110.0,52701.8815,2.0,5.0,,111.0,1.0,1.0,1.0,4.0,,,3.0,1.0,2.0,,,3.0,34.0,,2.0,0.86,1.0,,49834.656271,2.0,1.0,1.0,1.0,4.0,45.0,1.0,3.0,2.0,2.0,,,2.0,1.0,2003
21046.0,4.0,2.0,52.0,8831.478393,2.0,7.0,,52.0,1.0,1.0,1.0,8.0,,,1.0,1.0,1.0,,,3.0,40.0,,2.0,1.68,1.0,,8849.000493,,1.0,1.0,2.0,7.0,24.0,,1.0,3.0,2.0,,,2.0,1.0,2003
21047.0,15.0,2.0,184.0,6928.713716,2.0,6.0,1.0,185.0,1.0,1.0,1.0,3.0,2.0,,1.0,1.0,1.0,,5.0,3.0,38.0,1.0,1.0,0.57,1.0,2.0,6720.583233,8.0,1.0,2.0,2.0,3.0,44.0,1.0,1.0,3.0,2.0,2.0,,2.0,1.0,2003
21048.0,42.0,2.0,504.0,19035.05651,2.0,5.0,1.0,504.0,1.0,2.0,3.0,5.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,39.0,1.0,2.0,0.48,1.0,2.0,18792.034181,,1.0,2.0,1.0,2.0,59.0,,1.0,,2.0,2.0,,2.0,2.0,2003
21049.0,16.0,2.0,201.0,3473.35587,2.0,6.0,1.0,203.0,1.0,1.0,1.0,5.0,2.0,,1.0,1.0,2.0,,5.0,3.0,42.0,1.0,1.0,0.89,1.0,2.0,3398.846205,10.0,1.0,2.0,2.0,5.0,46.0,1.0,1.0,1.0,2.0,2.0,,2.0,2.0,2003
21050.0,69.0,2.0,828.0,65554.824291,2.0,2.0,,828.0,1.0,1.0,1.0,5.0,,3.0,3.0,1.0,2.0,2.0,1.0,3.0,32.0,1.0,2.0,1.92,1.0,2.0,59114.508981,,1.0,1.0,1.0,5.0,69.0,,3.0,3.0,2.0,2.0,,2.0,2.0,2003
21051.0,55.0,2.0,670.0,77003.332029,2.0,2.0,1.0,671.0,1.0,1.0,1.0,11.0,,3.0,3.0,1.0,2.0,2.0,1.0,3.0,30.0,1.0,2.0,5.0,1.0,2.0,76894.563087,,1.0,1.0,1.0,11.0,55.0,,3.0,4.0,2.0,2.0,,2.0,2.0,2003
21052.0,37.0,2.0,451.0,85621.334312,2.0,4.0,1.0,452.0,1.0,1.0,1.0,8.0,2.0,3.0,,1.0,2.0,2.0,1.0,3.0,29.0,1.0,1.0,2.45,1.0,2.0,82275.985846,,1.0,2.0,,8.0,40.0,,3.0,3.0,2.0,2.0,,2.0,2.0,2003
21053.0,7.0,2.0,92.0,15596.846123,2.0,7.0,,93.0,1.0,1.0,1.0,7.0,,,3.0,1.0,1.0,,,3.0,38.0,,2.0,0.26,1.0,,15167.696049,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,4.0,2.0,,,2.0,1.0,2003
21054.0,59.0,2.0,712.0,85590.43514,2.0,2.0,1.0,712.0,1.0,2.0,1.0,9.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,39.0,1.0,2.0,4.48,1.0,2.0,78406.810577,,1.0,2.0,1.0,9.0,59.0,,3.0,3.0,2.0,2.0,,2.0,2.0,2003
21055.0,73.0,2.0,878.0,8976.093322,2.0,1.0,,879.0,1.0,2.0,5.0,3.0,,1.0,1.0,1.0,1.0,2.0,5.0,3.0,36.0,1.0,2.0,1.47,1.0,2.0,8899.629136,,2.0,2.0,2.0,3.0,73.0,,1.0,,2.0,2.0,6.0,2.0,2.0,2003
21056.0,36.0,2.0,439.0,0.0,2.0,3.0,,,1.0,1.0,1.0,,,5.0,5.0,1.0,,2.0,1.0,3.0,42.0,,2.0,,1.0,,75709.118421,,1.0,1.0,1.0,12.0,36.0,,3.0,5.0,2.0,,,1.0,2.0,2003
21057.0,17.0,2.0,215.0,33171.814999,2.0,2.0,1.0,216.0,1.0,2.0,3.0,9.0,,,3.0,1.0,2.0,2.0,5.0,3.0,41.0,1.0,1.0,4.62,1.0,2.0,31835.027043,11.0,1.0,1.0,3.0,9.0,41.0,3.0,2.0,,2.0,2.0,,2.0,2.0,2003
21058.0,78.0,2.0,943.0,11283.840639,2.0,2.0,,945.0,1.0,1.0,3.0,5.0,,1.0,,1.0,2.0,1.0,2.0,3.0,41.0,1.0,1.0,1.82,1.0,2.0,10198.041423,,1.0,1.0,,5.0,46.0,,4.0,,2.0,2.0,,2.0,2.0,2003
21059.0,51.0,2.0,612.0,104658.320578,2.0,3.0,1.0,614.0,1.0,2.0,1.0,11.0,3.0,5.0,5.0,1.0,1.0,2.0,1.0,3.0,36.0,1.0,2.0,5.0,1.0,2.0,98200.911672,,1.0,2.0,1.0,11.0,51.0,,3.0,5.0,2.0,2.0,,2.0,2.0,2003
21060.0,11.0,2.0,134.0,52681.363868,2.0,5.0,,135.0,1.0,1.0,1.0,11.0,2.0,,5.0,1.0,1.0,,,3.0,40.0,,1.0,3.95,1.0,,51093.721267,5.0,1.0,2.0,1.0,11.0,35.0,1.0,3.0,4.0,2.0,,,2.0,1.0,2003
21061.0,71.0,2.0,852.0,28780.980927,2.0,2.0,,853.0,1.0,1.0,1.0,5.0,,2.0,2.0,1.0,2.0,2.0,1.0,3.0,33.0,1.0,1.0,1.76,1.0,2.0,28463.044382,,1.0,1.0,1.0,5.0,71.0,,3.0,3.0,2.0,2.0,,2.0,2.0,2003
21062.0,11.0,2.0,132.0,44768.141163,2.0,3.0,,133.0,1.0,2.0,3.0,7.0,2.0,,5.0,1.0,2.0,,,3.0,29.0,,2.0,2.74,1.0,,43418.977002,5.0,1.0,2.0,1.0,7.0,31.0,1.0,3.0,,2.0,,,2.0,1.0,2003
21063.0,69.0,2.0,834.0,2519.947428,2.0,4.0,,834.0,2.0,2.0,1.0,5.0,,1.0,1.0,2.0,1.0,2.0,1.0,3.0,40.0,2.0,2.0,1.17,2.0,2.0,2251.574819,,2.0,1.0,2.0,5.0,58.0,,1.0,1.0,2.0,2.0,5.0,2.0,2.0,2003
21064.0,11.0,2.0,138.0,11591.6173,2.0,5.0,,138.0,2.0,1.0,1.0,9.0,,,1.0,1.0,1.0,,,3.0,34.0,,1.0,2.79,1.0,,11517.473949,4.0,2.0,1.0,1.0,9.0,27.0,1.0,1.0,1.0,2.0,,4.0,2.0,1.0,2003
21065.0,52.0,2.0,624.0,91954.890775,2.0,4.0,1.0,626.0,1.0,1.0,1.0,11.0,,5.0,5.0,1.0,1.0,2.0,1.0,3.0,40.0,1.0,1.0,5.0,1.0,2.0,87786.090544,,1.0,1.0,1.0,11.0,52.0,,3.0,5.0,2.0,2.0,,2.0,2.0,2003
21066.0,76.0,2.0,913.0,49105.357375,2.0,2.0,,913.0,1.0,2.0,3.0,3.0,,3.0,3.0,1.0,1.0,2.0,3.0,3.0,35.0,1.0,2.0,0.8,1.0,2.0,45695.98911,,1.0,2.0,1.0,3.0,76.0,,2.0,,2.0,2.0,,2.0,2.0,2003
21067.0,25.0,2.0,303.0,90158.673309,2.0,2.0,1.0,303.0,1.0,1.0,1.0,6.0,,3.0,3.0,1.0,2.0,1.0,1.0,3.0,32.0,1.0,2.0,2.4,1.0,2.0,90803.158254,,1.0,1.0,1.0,6.0,25.0,,3.0,5.0,2.0,2.0,,2.0,2.0,2003
21068.0,57.0,2.0,695.0,47705.714553,2.0,1.0,1.0,695.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,34.0,1.0,2.0,1.07,1.0,2.0,45002.91726,,1.0,2.0,1.0,3.0,57.0,,3.0,,2.0,2.0,,2.0,2.0,2003
21069.0,70.0,2.0,841.0,2705.019605,2.0,3.0,,842.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,40.0,2.0,1.0,0.08,2.0,2.0,2643.7209,,2.0,1.0,2.0,1.0,70.0,,1.0,1.0,2.0,2.0,9.0,2.0,2.0,2003
21070.0,31.0,2.0,377.0,85621.334312,2.0,3.0,1.0,378.0,1.0,2.0,1.0,7.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,3.0,29.0,1.0,1.0,2.29,1.0,2.0,82275.985846,,1.0,2.0,1.0,7.0,31.0,,3.0,4.0,2.0,2.0,,2.0,2.0,2003
21071.0,15.0,2.0,187.0,6228.652013851482,2.0,4.0,1.0,188.0,1.0,2.0,5.0,3.0,,,2.0,1.0,2.0,,5.0,3.0,30.0,1.0,1.0,0.6,1.0,2.0,5813.079603739355,9.0,1.0,1.0,1.0,3.0,31.0,1.0,4.0,,2.0,2.0,,2.0,1.0,2003
21072.0,4.0,2.0,52.0,10896.381016,2.0,4.0,,53.0,1.0,1.0,1.0,11.0,,,5.0,1.0,1.0,,,3.0,36.0,,1.0,5.0,1.0,,10226.96098,,1.0,2.0,1.0,11.0,39.0,,2.0,5.0,2.0,,,2.0,1.0,2003
21073.0,0.0,,4.0,6214.140633,2.0,5.0,,6.0,1.0,1.0,,,,,,,2.0,,,3.0,29.0,,1.0,,1.0,,6214.140633,,1.0,2.0,,,26.0,,3.0,,,,,2.0,1.0,2003
21074.0,76.0,2.0,913.0,16475.737545,2.0,5.0,,914.0,1.0,2.0,1.0,4.0,,2.0,2.0,1.0,2.0,2.0,2.0,3.0,42.0,,1.0,0.74,1.0,,14969.727388,,1.0,2.0,1.0,2.0,48.0,,4.0,,2.0,,,2.0,2.0,2003
21075.0,8.0,2.0,98.0,9494.987613,2.0,5.0,,99.0,1.0,1.0,1.0,4.0,2.0,,2.0,1.0,2.0,,,3.0,41.0,,1.0,0.82,1.0,,9459.79961,1.0,1.0,2.0,1.0,4.0,27.0,1.0,4.0,4.0,2.0,,,2.0,1.0,2003
21076.0,47.0,2.0,573.0,0.0,2.0,4.0,,,1.0,1.0,1.0,11.0,,4.0,4.0,1.0,,2.0,1.0,3.0,30.0,,1.0,5.0,1.0,,23269.9449,,1.0,1.0,1.0,9.0,47.0,,4.0,2.0,2.0,,,1.0,2.0,2003
21077.0,1.0,2.0,20.0,7054.74224,2.0,4.0,,21.0,1.0,2.0,5.0,2.0,,,1.0,1.0,1.0,,,3.0,37.0,,1.0,0.49,1.0,,7064.344074,,1.0,1.0,1.0,2.0,31.0,,4.0,,2.0,,,2.0,1.0,2003
21078.0,85.0,2.0,,18086.704423,2.0,2.0,,,1.0,1.0,1.0,5.0,,3.0,3.0,1.0,2.0,1.0,1.0,3.0,41.0,1.0,2.0,1.92,1.0,2.0,16385.090259,,3.0,1.0,3.0,5.0,85.0,,3.0,,2.0,2.0,9.0,2.0,2.0,2003
21079.0,8.0,2.0,103.0,11634.107223,2.0,4.0,,103.0,1.0,1.0,4.0,7.0,2.0,,4.0,1.0,2.0,,,3.0,31.0,,1.0,2.34,1.0,,11713.299341,2.0,1.0,2.0,1.0,7.0,41.0,1.0,1.0,,2.0,,,2.0,1.0,2003
21080.0,60.0,2.0,724.0,50900.61723,2.0,3.0,,726.0,1.0,1.0,1.0,7.0,,4.0,4.0,1.0,2.0,2.0,1.0,3.0,39.0,1.0,2.0,2.55,1.0,2.0,50920.106741,,1.0,2.0,3.0,7.0,75.0,,3.0,4.0,2.0,2.0,,2.0,2.0,2003
21081.0,0.0,2.0,6.0,3815.243509,2.0,6.0,,7.0,1.0,1.0,5.0,99.0,,,2.0,1.0,1.0,,,3.0,35.0,,2.0,,1.0,,3815.243509,,1.0,1.0,1.0,99.0,20.0,,4.0,,2.0,,,2.0,1.0,2003
21082.0,15.0,2.0,189.0,45713.890789,2.0,4.0,1.0,190.0,1.0,1.0,1.0,11.0,2.0,,4.0,1.0,2.0,,5.0,3.0,32.0,1.0,2.0,3.98,1.0,2.0,46122.448435,9.0,1.0,2.0,1.0,11.0,57.0,1.0,3.0,4.0,2.0,2.0,,2.0,1.0,2003
21083.0,80.0,2.0,962.0,5167.559361,1.0,4.0,,963.0,1.0,2.0,3.0,3.0,,1.0,1.0,1.0,1.0,2.0,3.0,3.0,38.0,2.0,2.0,1.18,1.0,2.0,4981.254097,,1.0,2.0,1.0,3.0,80.0,,1.0,,2.0,2.0,,2.0,2.0,2003
21084.0,57.0,2.0,692.0,93163.4704,2.0,2.0,1.0,693.0,1.0,2.0,1.0,9.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,34.0,1.0,1.0,4.62,1.0,2.0,91437.144709,,1.0,2.0,1.0,9.0,57.0,,3.0,3.0,2.0,2.0,,2.0,2.0,2003
